filename,width,height,class,xmin,ymin,xmax,ymax
FishDataset232_png.rf.CC8AfGJBFvbo9JTlNPe4.jpg,416,416,tuna,24,64,288,358
FishDataset232_png.rf.CC8AfGJBFvbo9JTlNPe4.jpg,416,416,surgeon,260,219,396,402
FishDataset383_png.rf.CUvJtiM0i6cxxYjUVUN3.jpg,416,416,surgeon,37,24,112,86
FishDataset383_png.rf.CUvJtiM0i6cxxYjUVUN3.jpg,416,416,surgeon,9,98,131,165
FishDataset383_png.rf.CUvJtiM0i6cxxYjUVUN3.jpg,416,416,surgeon,80,172,160,215
FishDataset383_png.rf.CUvJtiM0i6cxxYjUVUN3.jpg,416,416,surgeon,71,210,131,256
FishDataset383_png.rf.CUvJtiM0i6cxxYjUVUN3.jpg,416,416,surgeon,76,282,140,343
FishDataset383_png.rf.CUvJtiM0i6cxxYjUVUN3.jpg,416,416,surgeon,158,144,217,174
FishDataset383_png.rf.CUvJtiM0i6cxxYjUVUN3.jpg,416,416,surgeon,200,191,271,231
FishDataset383_png.rf.CUvJtiM0i6cxxYjUVUN3.jpg,416,416,surgeon,243,223,317,261
FishDataset383_png.rf.CUvJtiM0i6cxxYjUVUN3.jpg,416,416,surgeon,325,201,401,262
FishDataset536_png.rf.AUIVcx6Dq415I2BUjdtc.jpg,416,416,shark,86,160,356,266
FishDataset695_png.rf.BEnmduLr2V9rlv79OgmH.jpg,416,416,jack,66,63,239,209
FishDataset695_png.rf.BEnmduLr2V9rlv79OgmH.jpg,416,416,jack,34,303,209,413
FishDataset695_png.rf.BEnmduLr2V9rlv79OgmH.jpg,416,416,jack,90,112,278,247
FishDataset695_png.rf.BEnmduLr2V9rlv79OgmH.jpg,416,416,jack,191,122,411,298
FishDataset695_png.rf.BEnmduLr2V9rlv79OgmH.jpg,416,416,jack,214,0,398,63
FishDataset722_png.rf.CqSxUgggnLETg0OSivb7.jpg,416,416,tuna,110,5,306,176
FishDataset722_png.rf.CqSxUgggnLETg0OSivb7.jpg,416,416,tuna,47,173,153,256
FishDataset722_png.rf.CqSxUgggnLETg0OSivb7.jpg,416,416,tuna,125,307,414,408
FishDataset722_png.rf.CqSxUgggnLETg0OSivb7.jpg,416,416,tuna,240,147,409,253
FishDataset124_png.rf.AeKSbhHLpy4kV5fjpNiA.jpg,416,416,grouper,170,43,393,333
FishDataset158_png.rf.B0OUWDWxoX3j9AuocYXK.jpg,416,416,parrot,33,75,153,151
FishDataset158_png.rf.B0OUWDWxoX3j9AuocYXK.jpg,416,416,parrot,41,166,147,235
FishDataset158_png.rf.B0OUWDWxoX3j9AuocYXK.jpg,416,416,parrot,42,225,142,284
FishDataset158_png.rf.B0OUWDWxoX3j9AuocYXK.jpg,416,416,parrot,75,276,209,364
FishDataset158_png.rf.B0OUWDWxoX3j9AuocYXK.jpg,416,416,parrot,174,61,302,159
FishDataset158_png.rf.B0OUWDWxoX3j9AuocYXK.jpg,416,416,parrot,142,192,252,263
FishDataset158_png.rf.B0OUWDWxoX3j9AuocYXK.jpg,416,416,parrot,215,214,307,301
FishDataset158_png.rf.B0OUWDWxoX3j9AuocYXK.jpg,416,416,parrot,268,126,371,210
FishDataset472_png.rf.BP22OzXsHavPqmLQGQm7.jpg,416,416,surgeon,102,121,399,310
FishDataset603_png.rf.9q4RfT4Y2PaLHVLHE1y3.jpg,416,416,snapper,27,28,385,383
FishDataset243_png.rf.BziOlVEABJR2M4QBs3na.jpg,416,416,surgeon,59,81,364,357
FishDataset617_png.rf.CXbLpH1X7LKK9DXT5jjC.jpg,416,416,snapper,156,53,273,220
FishDataset35_png.rf.A49L5NbJhAK4TSxr4Qqp.jpg,416,416,snapper,66,71,367,354
FishDataset331_png.rf.CluHLgv9GcGDFJQgQmgs.jpg,416,416,grouper,0,234,232,415
FishDataset100_png.rf.A7weB2W6byK2TZA2QpVC.jpg,416,416,surgeon,125,139,263,321
FishDataset355_png.rf.Cz9BMG856hHn8RsnvWYr.jpg,416,416,shark,140,64,344,305
FishDataset701_png.rf.CwDI3bAbdszg3lr9WqyN.jpg,416,416,tuna,12,28,392,341
FishDataset227_png.rf.Ao7i7Vd82EFUR65u95Qd.jpg,416,416,tuna,25,86,375,292
FishDataset279_png.rf.Agv38aPuUuYhAzc8I8jR.jpg,416,416,tuna,0,0,121,78
FishDataset279_png.rf.Agv38aPuUuYhAzc8I8jR.jpg,416,416,tuna,156,61,321,152
